"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-S_X_O","Industry, construction and services (except public administration, defense, compulsory social security)","","B-S_X_O","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-S_X_K642","Industry, construction and services except insurance activities of holding companies","","B-S_X_K642","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-N","Business economy","","B-N","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-N_S95_X_K","Total business economy; repair of computers, personal and household goods; except financial and insurance activities","","B-N_S95_X_K","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-N_X_K","Total business economy except financial and insurance activities","","B-N_X_K","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-N_X_K642","Business economy except activities of holding companies","","B-N_X_K642","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-F","Industry and construction","","B-F","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-E36_F","Industry and construction (except sewerage, waste management and remediation activities)","","B-E36_F","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-E","Industry (except construction)","","B-E","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-E_X_FOOD","Industry (except construction, food, beverages and tobacco)","","B-E_X_FOOD","invalid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-E_X_FOOD_NRG","Industry (except construction, food and energy)","","B-E_X_FOOD_NRG","invalid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-E36","Industry (except construction, sewerage, waste management and remediation activities)","","B-E36","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-E36_X_FOOD","Industry (except construction, sewerage, waste management and remediation activities), except food, beverages and tobacco","","B-E36_X_FOOD","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-D_F","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction","","B-D_F","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B_D-F_XB0721","Mining and quarrying, electricity, gas, water supply, construction (except mining of uranium)","","B_D-F_XB0721","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B_D_E","Mining and quarrying; electricity, gas, steam and air conditioning supply; water supply, sewerage, waste management and remediation activities","","B_D_E","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-D","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply","","B-D","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-D_X_FOOD","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply (except food, beverages and tobacco)","","B-D_X_FOOD","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B_C","Mining and quarrying; manufacturing","","B_C","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B_C_X_FOOD","Mining and quarrying; manufacturing (except food, beverages and tobacco)","","B_C_X_FOOD","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B_C_X_MIG_NRG","Mining and quarrying; manufacturing (except MIG energy)","","B_C_X_MIG_NRG","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B_C_X_FD_MIG_NRG","Mining and quarrying; manufacturing (except MIG energy), except food, beverages and tobacco","","B_C_X_FD_MIG_NRG","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/KIA","Total knowledge-intensive activities","","KIA","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/KIABI","Knowledge-intensive activities - business industries","","KIABI","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_ING_CAG","MIG - intermediate and capital goods","","MIG_ING_CAG","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_ING_ORD","MIG - intermediate goods, for new orders","","MIG_ING_ORD","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_ING","MIG - intermediate goods","","MIG_ING","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_NRG","MIG - energy","","MIG_NRG","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_NRG_X_E","MIG - energy (except section E)","","MIG_NRG_X_E","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_NRG_X_D_E","MIG - energy (except sections D and E)","","MIG_NRG_X_D_E","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_CAG","MIG - capital goods","","MIG_CAG","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/MIG_CAG_ORD","MIG - capital goods, for new orders","","MIG_CAG_ORD","valid","2013-07-25"
