AnzahlFall,Datum,FID,IstErkrankungsbeginn
1.0,2020-03-03 01:00:00,12734919,1.0
1.0,2020-03-03 01:00:00,12737163,1.0
1.0,2020-03-03 01:00:00,12739033,1.0
1.0,2020-03-03 01:00:00,12740155,1.0
1.0,2020-03-03 01:00:00,12742773,1.0
1.0,2020-03-03 01:00:00,12743895,1.0
2.0,2020-03-03 01:00:00,12744643,1.0
1.0,2020-03-03 01:00:00,12745765,1.0
1.0,2020-03-03 01:00:00,12746887,1.0
1.0,2020-03-03 01:00:00,12747261,1.0
1.0,2020-03-03 01:00:00,12747635,1.0
2.0,2020-03-03 01:00:00,12748009,1.0
1.0,2020-03-03 01:00:00,12748757,1.0
6.0,2020-03-03 01:00:00,12749131,1.0
2.0,2020-03-03 01:00:00,12749132,0.0
7.0,2020-03-03 01:00:00,12749879,1.0
2.0,2020-03-03 01:00:00,12750253,1.0
3.0,2020-03-03 01:00:00,12750627,1.0
1.0,2020-03-03 01:00:00,12751001,1.0
35.0,2020-03-03 01:00:00,12751375,1.0
5.0,2020-03-03 01:00:00,12751376,0.0
4.0,2020-03-03 01:00:00,12752497,1.0
2.0,2020-03-03 01:00:00,12752498,0.0
2.0,2020-03-03 01:00:00,12753245,1.0
1.0,2020-03-03 01:00:00,12753993,1.0
2.0,2020-03-03 01:00:00,12754367,1.0
1.0,2020-03-03 01:00:00,12755115,1.0
1.0,2020-03-03 01:00:00,12755863,1.0
1.0,2020-03-03 01:00:00,12756611,1.0
1.0,2020-03-03 01:00:00,12757359,1.0
1.0,2020-03-03 01:00:00,12758107,1.0
2.0,2020-03-03 01:00:00,12758481,1.0
4.0,2020-03-03 01:00:00,12758855,1.0
1.0,2020-03-03 01:00:00,12760351,1.0
1.0,2020-03-03 01:00:00,12762969,1.0
2.0,2020-03-03 01:00:00,12763343,1.0
1.0,2020-03-03 01:00:00,12764091,1.0
1.0,2020-03-03 01:00:00,12764465,1.0
2.0,2020-03-03 01:00:00,12764466,0.0
1.0,2020-03-03 01:00:00,12767083,1.0
1.0,2020-03-03 01:00:00,12767457,1.0
1.0,2020-03-03 01:00:00,12768205,1.0
1.0,2020-03-03 01:00:00,12772693,1.0
1.0,2020-03-03 01:00:00,12776059,1.0
1.0,2020-03-03 01:00:00,12779052,0.0
1.0,2020-03-03 01:00:00,12780547,1.0
1.0,2020-03-03 01:00:00,12783539,1.0
1.0,2020-03-03 01:00:00,12785409,1.0
6.0,2020-03-03 01:00:00,12786157,1.0
1.0,2020-03-03 01:00:00,12786531,1.0
6.0,2020-03-03 01:00:00,12786905,1.0
5.0,2020-03-03 01:00:00,12787279,1.0
4.0,2020-03-03 01:00:00,12787653,1.0
3.0,2020-03-03 01:00:00,12788027,1.0
3.0,2020-03-03 01:00:00,12788028,0.0
2.0,2020-03-03 01:00:00,12788775,1.0
1.0,2020-03-03 01:00:00,12789149,1.0
4.0,2020-03-03 01:00:00,12789523,1.0
1.0,2020-03-03 01:00:00,12790271,1.0
1.0,2020-03-03 01:00:00,12790645,1.0
3.0,2020-03-03 01:00:00,12791767,1.0
3.0,2020-03-03 01:00:00,12792889,1.0
1.0,2020-03-03 01:00:00,12793264,0.0
4.0,2020-03-03 01:00:00,12793637,1.0
1.0,2020-03-03 01:00:00,12794011,1.0
1.0,2020-03-03 01:00:00,12794385,1.0
3.0,2020-03-03 01:00:00,12795507,1.0
3.0,2020-03-03 01:00:00,12795881,1.0
1.0,2020-03-03 01:00:00,12795882,0.0
1.0,2020-03-03 01:00:00,12796255,1.0
3.0,2020-03-03 01:00:00,12796629,1.0
1.0,2020-03-03 01:00:00,12797377,1.0
1.0,2020-03-03 01:00:00,12797751,1.0
1.0,2020-03-03 01:00:00,12798125,1.0
3.0,2020-03-03 01:00:00,12799621,1.0
4.0,2020-03-03 01:00:00,12799995,1.0
1.0,2020-03-03 01:00:00,12800370,0.0
3.0,2020-03-03 01:00:00,12801117,1.0
3.0,2020-03-03 01:00:00,12801865,1.0
12.0,2020-03-03 01:00:00,12802987,1.0
1.0,2020-03-03 01:00:00,12804857,1.0
1.0,2020-03-03 01:00:00,12805231,1.0
2.0,2020-03-03 01:00:00,12805605,1.0
6.0,2020-03-03 01:00:00,12806353,1.0
1.0,2020-03-03 01:00:00,12806727,1.0
1.0,2020-03-03 01:00:00,12807101,1.0
1.0,2020-03-03 01:00:00,12808223,1.0
2.0,2020-03-03 01:00:00,12808598,0.0
1.0,2020-03-03 01:00:00,12809345,1.0
1.0,2020-03-03 01:00:00,12809719,1.0
1.0,2020-03-03 01:00:00,12810093,1.0
2.0,2020-03-03 01:00:00,12810467,1.0
1.0,2020-03-03 01:00:00,12810841,1.0
1.0,2020-03-03 01:00:00,12816077,1.0
1.0,2020-03-03 01:00:00,12816825,1.0
2.0,2020-03-03 01:00:00,12817199,1.0
1.0,2020-03-03 01:00:00,12818321,1.0
1.0,2020-03-03 01:00:00,12818695,1.0
1.0,2020-03-03 01:00:00,12820939,1.0
1.0,2020-03-03 01:00:00,12821687,1.0
1.0,2020-03-03 01:00:00,12822435,1.0
1.0,2020-03-03 01:00:00,12826549,1.0
1.0,2020-03-03 01:00:00,12830289,1.0
1.0,2020-03-03 01:00:00,12834029,1.0
1.0,2020-03-03 01:00:00,12834777,1.0
2.0,2020-03-03 01:00:00,12835151,1.0
1.0,2020-03-03 01:00:00,12837022,0.0
1.0,2020-03-03 01:00:00,12838143,1.0
1.0,2020-03-03 01:00:00,12838517,1.0
1.0,2020-03-03 01:00:00,12839265,1.0
5.0,2020-03-03 01:00:00,12840761,1.0
2.0,2020-03-03 01:00:00,12841509,1.0
5.0,2020-03-03 01:00:00,12841883,1.0
3.0,2020-03-03 01:00:00,12842257,1.0
1.0,2020-03-03 01:00:00,12842631,1.0
2.0,2020-03-03 01:00:00,12843005,1.0
1.0,2020-03-03 01:00:00,12843379,1.0
1.0,2020-03-03 01:00:00,12844875,1.0
1.0,2020-03-03 01:00:00,12854226,0.0
1.0,2020-03-03 01:00:00,12855347,1.0
1.0,2020-03-03 01:00:00,12855721,1.0
1.0,2020-03-03 01:00:00,12856469,1.0
1.0,2020-03-03 01:00:00,12857217,1.0
2.0,2020-03-03 01:00:00,12857965,1.0
1.0,2020-03-03 01:00:00,12858713,1.0
1.0,2020-03-03 01:00:00,12859461,1.0
1.0,2020-03-03 01:00:00,12860583,1.0
1.0,2020-03-03 01:00:00,12865071,1.0
2.0,2020-03-03 01:00:00,12865819,1.0
1.0,2020-03-03 01:00:00,12871055,1.0
1.0,2020-03-04 01:00:00,12719961,1.0
1.0,2020-03-04 01:00:00,12720335,1.0
1.0,2020-03-04 01:00:00,12720709,1.0
1.0,2020-03-04 01:00:00,12721457,1.0
1.0,2020-03-04 01:00:00,12722579,1.0
14.0,2020-03-04 01:00:00,12725197,1.0
1.0,2020-03-04 01:00:00,12725198,0.0
2.0,2020-03-04 01:00:00,12727067,1.0
6.0,2020-03-04 01:00:00,12729311,1.0
1.0,2020-03-04 01:00:00,12729685,1.0
2.0,2020-03-04 01:00:00,12731929,1.0
2.0,2020-03-04 01:00:00,12733799,1.0
7.0,2020-03-04 01:00:00,12734921,1.0
2.0,2020-03-04 01:00:00,12735669,1.0
1.0,2020-03-04 01:00:00,12739035,1.0
1.0,2020-03-04 01:00:00,12739409,1.0
2.0,2020-03-04 01:00:00,12740905,1.0
1.0,2020-03-04 01:00:00,12742401,1.0
2.0,2020-03-04 01:00:00,12743149,1.0
1.0,2020-03-04 01:00:00,12743150,0.0
1.0,2020-03-04 01:00:00,12743523,1.0
2.0,2020-03-04 01:00:00,12743897,1.0
1.0,2020-03-04 01:00:00,12744271,1.0
1.0,2020-03-04 01:00:00,12745393,1.0
4.0,2020-03-04 01:00:00,12745767,1.0
1.0,2020-03-04 01:00:00,12746889,1.0
5.0,2020-03-04 01:00:00,12747263,1.0
1.0,2020-03-04 01:00:00,12748011,1.0
1.0,2020-03-04 01:00:00,12748385,1.0
2.0,2020-03-04 01:00:00,12748759,1.0
8.0,2020-03-04 01:00:00,12749133,1.0
8.0,2020-03-04 01:00:00,12749881,1.0
1.0,2020-03-04 01:00:00,12749882,0.0
1.0,2020-03-04 01:00:00,12750255,1.0
3.0,2020-03-04 01:00:00,12750629,1.0
2.0,2020-03-04 01:00:00,12751003,1.0
38.0,2020-03-04 01:00:00,12751377,1.0
20.0,2020-03-04 01:00:00,12751378,0.0
1.0,2020-03-04 01:00:00,12751751,1.0
2.0,2020-03-04 01:00:00,12752499,1.0
1.0,2020-03-04 01:00:00,12752500,0.0
1.0,2020-03-04 01:00:00,12753621,1.0
1.0,2020-03-04 01:00:00,12753995,1.0
4.0,2020-03-04 01:00:00,12754369,1.0
2.0,2020-03-04 01:00:00,12754370,0.0
2.0,2020-03-04 01:00:00,12754743,1.0
1.0,2020-03-04 01:00:00,12755865,1.0
1.0,2020-03-04 01:00:00,12756613,1.0
1.0,2020-03-04 01:00:00,12757361,1.0
2.0,2020-03-04 01:00:00,12757735,1.0
1.0,2020-03-04 01:00:00,12758857,1.0
1.0,2020-03-04 01:00:00,12759231,1.0
1.0,2020-03-04 01:00:00,12760353,1.0
1.0,2020-03-04 01:00:00,12761101,1.0
4.0,2020-03-04 01:00:00,12762597,1.0
1.0,2020-03-04 01:00:00,12762971,1.0
1.0,2020-03-04 01:00:00,12763719,1.0
1.0,2020-03-04 01:00:00,12764841,1.0
1.0,2020-03-04 01:00:00,12765215,1.0
1.0,2020-03-04 01:00:00,12765963,1.0
1.0,2020-03-04 01:00:00,12766337,1.0
1.0,2020-03-04 01:00:00,12767085,1.0
3.0,2020-03-04 01:00:00,12770451,1.0
1.0,2020-03-04 01:00:00,12772696,0.0
1.0,2020-03-04 01:00:00,12774939,1.0
1.0,2020-03-04 01:00:00,12776435,1.0
1.0,2020-03-04 01:00:00,12779801,1.0
2.0,2020-03-04 01:00:00,12782793,1.0
6.0,2020-03-04 01:00:00,12786159,1.0
1.0,2020-03-04 01:00:00,12786533,1.0
4.0,2020-03-04 01:00:00,12786907,1.0
2.0,2020-03-04 01:00:00,12786908,0.0
2.0,2020-03-04 01:00:00,12787281,1.0
8.0,2020-03-04 01:00:00,12787655,1.0
2.0,2020-03-04 01:00:00,12788029,1.0
1.0,2020-03-04 01:00:00,12788403,1.0
3.0,2020-03-04 01:00:00,12788777,1.0
2.0,2020-03-04 01:00:00,12788778,0.0
5.0,2020-03-04 01:00:00,12789151,1.0
4.0,2020-03-04 01:00:00,12789525,1.0
2.0,2020-03-04 01:00:00,12789899,1.0
2.0,2020-03-04 01:00:00,12791021,1.0
1.0,2020-03-04 01:00:00,12791395,1.0
2.0,2020-03-04 01:00:00,12792143,1.0
2.0,2020-03-04 01:00:00,12792517,1.0
3.0,2020-03-04 01:00:00,12792891,1.0
7.0,2020-03-04 01:00:00,12793639,1.0
1.0,2020-03-04 01:00:00,12794013,1.0
