AnzahlFall,Datum,FID,IstErkrankungsbeginn
2.0,2020-05-15 02:00:00,12850258,0.0
2.0,2020-05-15 02:00:00,12852127,1.0
1.0,2020-05-15 02:00:00,12852875,1.0
1.0,2020-05-15 02:00:00,12855119,1.0
1.0,2020-05-15 02:00:00,12855494,0.0
2.0,2020-05-15 02:00:00,12856241,1.0
2.0,2020-05-15 02:00:00,12856615,1.0
1.0,2020-05-15 02:00:00,12856616,0.0
1.0,2020-05-15 02:00:00,12856989,1.0
3.0,2020-05-15 02:00:00,12856990,0.0
2.0,2020-05-15 02:00:00,12857363,1.0
3.0,2020-05-15 02:00:00,12857364,0.0
1.0,2020-05-15 02:00:00,12858111,1.0
1.0,2020-05-15 02:00:00,12858112,0.0
1.0,2020-05-15 02:00:00,12858486,0.0
1.0,2020-05-15 02:00:00,12862226,0.0
1.0,2020-05-15 02:00:00,12862599,1.0
1.0,2020-05-15 02:00:00,12865218,0.0
1.0,2020-05-15 02:00:00,12865591,1.0
4.0,2020-05-15 02:00:00,12865592,0.0
1.0,2020-05-15 02:00:00,12869705,1.0
5.0,2020-05-15 02:00:00,12871575,1.0
1.0,2020-05-15 02:00:00,12871950,0.0
1.0,2020-05-15 02:00:00,12872697,1.0
1.0,2020-05-15 02:00:00,12873071,1.0
1.0,2020-05-16 02:00:00,12723847,1.0
1.0,2020-05-16 02:00:00,12725343,1.0
1.0,2020-05-16 02:00:00,12725344,0.0
1.0,2020-05-16 02:00:00,12725718,0.0
1.0,2020-05-16 02:00:00,12728335,1.0
13.0,2020-05-16 02:00:00,12729457,1.0
3.0,2020-05-16 02:00:00,12729458,0.0
1.0,2020-05-16 02:00:00,12730580,0.0
1.0,2020-05-16 02:00:00,12731701,1.0
1.0,2020-05-16 02:00:00,12732824,0.0
1.0,2020-05-16 02:00:00,12733945,1.0
1.0,2020-05-16 02:00:00,12734319,1.0
1.0,2020-05-16 02:00:00,12737311,1.0
1.0,2020-05-16 02:00:00,12740303,1.0
5.0,2020-05-16 02:00:00,12741051,1.0
1.0,2020-05-16 02:00:00,12741799,1.0
8.0,2020-05-16 02:00:00,12742547,1.0
4.0,2020-05-16 02:00:00,12742548,0.0
1.0,2020-05-16 02:00:00,12743295,1.0
9.0,2020-05-16 02:00:00,12743296,0.0
29.0,2020-05-16 02:00:00,12743669,1.0
4.0,2020-05-16 02:00:00,12743670,0.0
2.0,2020-05-16 02:00:00,12744043,1.0
1.0,2020-05-16 02:00:00,12744417,1.0
8.0,2020-05-16 02:00:00,12744418,0.0
4.0,2020-05-16 02:00:00,12744791,1.0
2.0,2020-05-16 02:00:00,12744792,0.0
1.0,2020-05-16 02:00:00,12745539,1.0
1.0,2020-05-16 02:00:00,12745913,1.0
1.0,2020-05-16 02:00:00,12745914,0.0
1.0,2020-05-16 02:00:00,12746661,1.0
4.0,2020-05-16 02:00:00,12747036,0.0
3.0,2020-05-16 02:00:00,12747409,1.0
5.0,2020-05-16 02:00:00,12747410,0.0
1.0,2020-05-16 02:00:00,12747783,1.0
1.0,2020-05-16 02:00:00,12748158,0.0
1.0,2020-05-16 02:00:00,12748531,1.0
2.0,2020-05-16 02:00:00,12748905,1.0
1.0,2020-05-16 02:00:00,12749279,1.0
2.0,2020-05-16 02:00:00,12749280,0.0
1.0,2020-05-16 02:00:00,12749653,1.0
3.0,2020-05-16 02:00:00,12750027,1.0
2.0,2020-05-16 02:00:00,12750776,0.0
1.0,2020-05-16 02:00:00,12751149,1.0
3.0,2020-05-16 02:00:00,12751523,1.0
14.0,2020-05-16 02:00:00,12751524,0.0
2.0,2020-05-16 02:00:00,12752645,1.0
11.0,2020-05-16 02:00:00,12752646,0.0
3.0,2020-05-16 02:00:00,12753393,1.0
4.0,2020-05-16 02:00:00,12753767,1.0
4.0,2020-05-16 02:00:00,12753768,0.0
1.0,2020-05-16 02:00:00,12754141,1.0
1.0,2020-05-16 02:00:00,12754142,0.0
1.0,2020-05-16 02:00:00,12754515,1.0
2.0,2020-05-16 02:00:00,12754516,0.0
1.0,2020-05-16 02:00:00,12754889,1.0
7.0,2020-05-16 02:00:00,12756385,1.0
1.0,2020-05-16 02:00:00,12757133,1.0
1.0,2020-05-16 02:00:00,12757881,1.0
1.0,2020-05-16 02:00:00,12758255,1.0
1.0,2020-05-16 02:00:00,12758629,1.0
2.0,2020-05-16 02:00:00,12759004,0.0
2.0,2020-05-16 02:00:00,12759378,0.0
1.0,2020-05-16 02:00:00,12759752,0.0
1.0,2020-05-16 02:00:00,12760125,1.0
2.0,2020-05-16 02:00:00,12761247,1.0
1.0,2020-05-16 02:00:00,12762370,0.0
13.0,2020-05-16 02:00:00,12763491,1.0
7.0,2020-05-16 02:00:00,12763492,0.0
4.0,2020-05-16 02:00:00,12764239,1.0
1.0,2020-05-16 02:00:00,12764240,0.0
5.0,2020-05-16 02:00:00,12764987,1.0
2.0,2020-05-16 02:00:00,12765361,1.0
3.0,2020-05-16 02:00:00,12765362,0.0
2.0,2020-05-16 02:00:00,12766109,1.0
2.0,2020-05-16 02:00:00,12766483,1.0
3.0,2020-05-16 02:00:00,12767231,1.0
1.0,2020-05-16 02:00:00,12767232,0.0
1.0,2020-05-16 02:00:00,12767605,1.0
1.0,2020-05-16 02:00:00,12767980,0.0
1.0,2020-05-16 02:00:00,12769102,0.0
1.0,2020-05-16 02:00:00,12769475,1.0
1.0,2020-05-16 02:00:00,12770223,1.0
3.0,2020-05-16 02:00:00,12771345,1.0
1.0,2020-05-16 02:00:00,12771719,1.0
1.0,2020-05-16 02:00:00,12772093,1.0
1.0,2020-05-16 02:00:00,12772094,0.0
2.0,2020-05-16 02:00:00,12776582,0.0
1.0,2020-05-16 02:00:00,12777330,0.0
2.0,2020-05-16 02:00:00,12779199,1.0
2.0,2020-05-16 02:00:00,12779200,0.0
3.0,2020-05-16 02:00:00,12780321,1.0
1.0,2020-05-16 02:00:00,12780322,0.0
2.0,2020-05-16 02:00:00,12781817,1.0
