country,date,type,geo,population,newHospitalizations,deaths,cases,cases_national,new_cases,new_cases_national,sum_pop,cases_pop_sub,cases_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2,rolling_average,past_average,rolling_average_new_cases,past_average_new_cases,past_average_new_cases_national,measure_H1_H2_cases,measure_H3_cases,cases_national_JHU,new_cases_national_JHU,past_average_new_cases_national_JHU,measure_H1_H2_cases_JHU,past_average_national_new_cases,policy_active,hetero,hetero_mean,differentiating,hhi_cumulative,hhi_new
France,2020-04-20,Lockdown,FRK,8005882,88,1062,7902,80370,75,1251,67012883,9.870242903904905e-4,0.0011993216289470788,-2.1229733855658833e-4,0.09832026875699888,0.05995203836930456,0.009666875248448491,0.0035942469046345658,7942.857142857143,7505.714285714285,137.28571428571428,154.71428571428572,1587.5714285714287,0.0023690540646810086,0.815729672005576,154188,2380,340,5.07365128582813e-4,1587.5714285714287,1,0,0,1,0.198598389255714,0.22013723952892
France,2020-04-20,Restrictions of Mass Gatherings,FRK,8005882,88,1062,7902,80370,75,1251,67012883,9.870242903904905e-4,0.0011993216289470788,-2.1229733855658833e-4,0.09832026875699888,0.05995203836930456,0.009666875248448491,0.0035942469046345658,7942.857142857143,7505.714285714285,137.28571428571428,154.71428571428572,1587.5714285714287,0.0023690540646810086,0.815729672005576,154188,2380,340,5.07365128582813e-4,1587.5714285714287,1,0,0,1,0.198598389255714,0.22013723952892
France,2020-04-20,Primary Schools (generally for children ages 10 and below),FRK,8005882,88,1062,7902,80370,75,1251,67012883,9.870242903904905e-4,0.0011993216289470788,-2.1229733855658833e-4,0.09832026875699888,0.05995203836930456,0.009666875248448491,0.0035942469046345658,7942.857142857143,7505.714285714285,137.28571428571428,154.71428571428572,1587.5714285714287,0.0023690540646810086,0.815729672005576,154188,2380,340,5.07365128582813e-4,1587.5714285714287,0,0,0,0,0.198598389255714,0.22013723952892
France,2020-04-20,Wearing Masks inside public or commercial building,FRK,8005882,88,1062,7902,80370,75,1251,67012883,9.870242903904905e-4,0.0011993216289470788,-2.1229733855658833e-4,0.09832026875699888,0.05995203836930456,0.009666875248448491,0.0035942469046345658,7942.857142857143,7505.714285714285,137.28571428571428,154.71428571428572,1587.5714285714287,0.0023690540646810086,0.815729672005576,154188,2380,340,5.07365128582813e-4,1587.5714285714287,0,0,0,0,0.198598389255714,0.22013723952892
France,2020-04-21,Lockdown,FRK,8005882,181,1103,8064,82053,162,1683,67012883,0.001007259412516947,0.001224436202811928,-2.1717679029498106e-4,0.09827794230558298,0.0962566844919786,0.009658553943819497,0.009265349309388314,8067.857142857143,7663.285714285715,125,157.57142857142858,1569.857142857143,0.002342619915124593,0.8401686199783899,156921,2733,390.42857142857144,5.82617183368415e-4,1569.857142857143,1,0,0,1,0.198046982794702,0.179837238555913
France,2020-04-21,Primary Schools (generally for children ages 10 and below),FRK,8005882,181,1103,8064,82053,162,1683,67012883,0.001007259412516947,0.001224436202811928,-2.1717679029498106e-4,0.09827794230558298,0.0962566844919786,0.009658553943819497,0.009265349309388314,8067.857142857143,7663.285714285715,125,157.57142857142858,1569.857142857143,0.002342619915124593,0.8401686199783899,156921,2733,390.42857142857144,5.82617183368415e-4,1569.857142857143,0,0,0,0,0.198046982794702,0.179837238555913
France,2020-04-21,Restrictions of Mass Gatherings,FRK,8005882,181,1103,8064,82053,162,1683,67012883,0.001007259412516947,0.001224436202811928,-2.1717679029498106e-4,0.09827794230558298,0.0962566844919786,0.009658553943819497,0.009265349309388314,8067.857142857143,7663.285714285715,125,157.57142857142858,1569.857142857143,0.002342619915124593,0.8401686199783899,156921,2733,390.42857142857144,5.82617183368415e-4,1569.857142857143,1,0,0,1,0.198046982794702,0.179837238555913
France,2020-04-21,Wearing Masks inside public or commercial building,FRK,8005882,181,1103,8064,82053,162,1683,67012883,0.001007259412516947,0.001224436202811928,-2.1717679029498106e-4,0.09827794230558298,0.0962566844919786,0.009658553943819497,0.009265349309388314,8067.857142857143,7663.285714285715,125,157.57142857142858,1569.857142857143,0.002342619915124593,0.8401686199783899,156921,2733,390.42857142857144,5.82617183368415e-4,1569.857142857143,0,0,0,0,0.198046982794702,0.179837238555913
France,2020-04-22,Restrictions of Mass Gatherings,FRK,8005882,137,1133,8202,83503,138,1450,67012883,0.0010244967387728172,0.0012460738332956067,-2.2157709452278948e-4,0.09822401590362023,0.09517241379310344,0.00964795730023464,0.009057788347205706,8183,7805.571428571428,115.14285714285714,142.28571428571428,1469.2857142857142,0.0021925421628042987,0.8105954470820735,154715,-2206,-315.14285714285717,-4.7027204775364933e-4,1469.2857142857142,1,0,0,1,0.198022300698505,0.201339357907253
France,2020-04-22,Lockdown,FRK,8005882,137,1133,8202,83503,138,1450,67012883,0.0010244967387728172,0.0012460738332956067,-2.2157709452278948e-4,0.09822401590362023,0.09517241379310344,0.00964795730023464,0.009057788347205706,8183,7805.571428571428,115.14285714285714,142.28571428571428,1469.2857142857142,0.0021925421628042987,0.8105954470820735,154715,-2206,-315.14285714285717,-4.7027204775364933e-4,1469.2857142857142,1,0,0,1,0.198022300698505,0.201339357907253
