country,date,type,hetero_mean
Switzerland,2020-03-16,Lockdown,0
Switzerland,2020-03-17,Lockdown,0
Switzerland,2020-03-18,Lockdown,0
Switzerland,2020-03-19,Lockdown,0
Switzerland,2020-03-20,Lockdown,0
Switzerland,2020-03-21,Lockdown,0
Switzerland,2020-03-22,Lockdown,0
Switzerland,2020-03-23,Lockdown,0
Switzerland,2020-03-24,Lockdown,0
Switzerland,2020-03-25,Lockdown,0
Switzerland,2020-03-26,Lockdown,0
Switzerland,2020-03-27,Lockdown,0
Switzerland,2020-03-28,Lockdown,0
Switzerland,2020-03-29,Lockdown,0
Switzerland,2020-03-30,Lockdown,0
Switzerland,2020-03-31,Lockdown,0
Switzerland,2020-04-01,Lockdown,0
Switzerland,2020-04-02,Lockdown,0
Switzerland,2020-04-03,Lockdown,0
Switzerland,2020-04-04,Lockdown,0
Switzerland,2020-04-05,Lockdown,0
Switzerland,2020-04-06,Lockdown,0
Switzerland,2020-04-07,Lockdown,0
Switzerland,2020-04-08,Lockdown,0
Switzerland,2020-04-09,Lockdown,0
Switzerland,2020-04-10,Lockdown,0
Switzerland,2020-04-11,Lockdown,0
Switzerland,2020-04-12,Lockdown,0
Switzerland,2020-04-13,Lockdown,0
Switzerland,2020-04-14,Lockdown,0
Switzerland,2020-04-15,Lockdown,0
Switzerland,2020-04-16,Lockdown,0
Switzerland,2020-04-17,Lockdown,0
Switzerland,2020-04-18,Lockdown,0
Switzerland,2020-04-19,Lockdown,0
Switzerland,2020-04-20,Lockdown,0
Switzerland,2020-04-21,Lockdown,0
Switzerland,2020-04-22,Lockdown,0
Switzerland,2020-04-23,Lockdown,0
Switzerland,2020-04-24,Lockdown,0
Switzerland,2020-04-25,Lockdown,0
Switzerland,2020-04-26,Lockdown,0
Switzerland,2020-04-27,Lockdown,0
Switzerland,2020-04-28,Lockdown,0
Switzerland,2020-04-29,Lockdown,0
Switzerland,2020-04-30,Lockdown,0
Switzerland,2020-05-01,Lockdown,0
Switzerland,2020-05-02,Lockdown,0
