"","date","region","country","geo","eurostat_total_population_2019","cases","cases_national","new_cases","new_cases_national","sum_pop","measure_H1_H2_cases","measure_H3_cases","cases_national_JHU","new_cases_national_JHU","past_average_new_cases_national_JHU","measure_H1_H2_cases_JHU","deaths","deaths_national","new_deaths","new_deaths_national","deaths_pop_sub","deaths_pop_nat","past_average_new_deaths","past_average_new_deaths_national","measure_H1_H2_deaths","measure_H3_deaths_a","measure_H3_deaths_b"
"65",2020-01-01,"Jura","Switzerland","CH025",73419,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"66",2020-01-01,"Lucerne","Switzerland","CH061",409557,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"67",2020-01-01,"Neuchatel","Switzerland","CH024",176850,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"68",2020-01-01,"Nidwalden","Switzerland","CH065",43223,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"69",2020-01-01,"Obwalden","Switzerland","CH064",37841,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"70",2020-01-01,"Saint Gallen","Switzerland","CH055",507697,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"71",2020-01-01,"Schaffhausen","Switzerland","CH052",81991,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"72",2020-01-01,"Schwyz","Switzerland","CH063",159165,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"73",2020-01-01,"Solothurn","Switzerland","CH023",273194,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"74",2020-01-01,"Thurgau","Switzerland","CH057",276472,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"75",2020-01-01,"Ticino","Switzerland","CH070",353343,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"76",2020-01-01,"Uri","Switzerland","CH062",36433,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"77",2020-01-01,"Valais","Switzerland","CH012",343955,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"78",2020-01-01,"Vaud","Switzerland","CH011",799145,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"79",2020-01-01,"Zug","Switzerland","CH066",126837,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"80",2020-01-01,"Zurich","Switzerland","CH040",1520968,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"81",2020-01-02,"Auvergne-Rhône-Alpes","France","FRK",8005882,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"82",2020-01-02,"Bourgogne-Franche-Comté","France","FRC",2793333,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"83",2020-01-02,"Bretagne","France","FRH",3333720,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"84",2020-01-02,"Centre-Val de Loire","France","FRB",2565258,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"85",2020-01-02,"Corse","France","FRM",341554,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"86",2020-01-02,"Grand Est","France","FRF",5525291,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"87",2020-01-02,"Guadeloupe","France","FRY1",416474,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"88",2020-01-02,"Guyane","France","FRY3",283539,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"89",2020-01-02,"Hauts-de-France","France","FRE",5977437,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"90",2020-01-02,"Île-de-France","France","FR1",12244807,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"91",2020-01-02,"La Réunion","France","FRY4",857961,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"92",2020-01-02,"Martinique","France","FRY2",363484,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"93",2020-01-02,"Mayotte","France","FRY5",269471,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"94",2020-01-02,"Normandie","France","FRD",3313340,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"95",2020-01-02,"Nouvelle-Aquitaine","France","FRI",5986318,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"96",2020-01-02,"Occitanie","France","FRJ",5899209,0,0,0,0,67012883,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
