date,region,cases,cases_national,country,eurostat_total_population_2019,code,new_cases,new_cases_national,sum_pop,cases_pop_sub,cases_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2
2020-01-03,Tuscany,0,0,Italy,3729641,ITI1,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Umbria,0,0,Italy,882015,ITI2,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Veneto,0,0,Italy,4905854,ITH3,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Aargau,0,0,Switzerland,678207,CH033,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Appenzell Ausserrhoden,0,0,Switzerland,55234,CH053,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Appenzell Innerrhoden,0,0,Switzerland,16145,CH054,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Basel-City,0,0,Switzerland,194766,CH031,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Basel-Landschaft,0,0,Switzerland,288132,CH032,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Bern,0,0,Switzerland,1034977,CH021,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Fribourg,0,0,Switzerland,318714,CH022,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Geneva,0,0,Switzerland,499480,CH013,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Glarus,0,0,Switzerland,40403,CH051,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Grisons,0,0,Switzerland,198379,CH056,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Jura,0,0,Switzerland,73419,CH025,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Lucerne,0,0,Switzerland,409557,CH061,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Neuchatel,0,0,Switzerland,176850,CH024,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Nidwalden,0,0,Switzerland,43223,CH065,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Obwalden,0,0,Switzerland,37841,CH064,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Saint Gallen,0,0,Switzerland,507697,CH055,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Schaffhausen,0,0,Switzerland,81991,CH052,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Schwyz,0,0,Switzerland,159165,CH063,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Solothurn,0,0,Switzerland,273194,CH023,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Thurgau,0,0,Switzerland,276472,CH057,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Ticino,0,0,Switzerland,353343,CH070,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Uri,0,0,Switzerland,36433,CH062,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Valais,0,0,Switzerland,343955,CH012,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Vaud,0,0,Switzerland,799145,CH011,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Zug,0,0,Switzerland,126837,CH066,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-03,Zurich,0,0,Switzerland,1520968,CH040,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Auvergne-Rhone-Alpes,0,0,France,8005882,FRK,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Bourgogne-Franche-Comté,0,0,France,2793333,FRC,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Brittany,0,0,France,3333720,FRH,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Centre-Val de Loire,0,0,France,2565258,FRB,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Corsica,0,0,France,341554,FRM,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Grand Est,0,0,France,5525291,FRF,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Guadeloupe,0,0,France,416474,FRY1,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Guyane,0,0,France,283539,FRY3,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Hauts-de-France,0,0,France,5977437,FRE,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Ile-de-France,0,0,France,12244807,FR1,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,La Réunion,0,0,France,857961,FRY4,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Martinique,0,0,France,363484,FRY2,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Mayotte,0,0,France,269471,FRY5,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Normandy,0,0,France,3313340,FRD,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Nouvelle-Aquitaine,0,0,France,5986318,FRI,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
