date,region,country,geo,eurostat_total_population_2019,deaths,deaths_national,new_deaths,new_deaths_national,sum_pop,deaths_pop_sub,deaths_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2,rolling_average,past_average,rolling_average_new_deaths,past_average_new_deaths,past_average_new_deaths_national,measure_H1_H2_deaths,measure_H3_deaths_a,measure_H3_deaths_b
2020-01-01,Umbria,Italy,ITI2,882015,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Valle d'Aosta,Italy,ITC2,125666,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Veneto,Italy,ITH3,4905854,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Aargau,Switzerland,CH033,678207,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Appenzell Ausserrhoden,Switzerland,CH053,55234,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Appenzell Innerrhoden,Switzerland,CH054,16145,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Basel-City,Switzerland,CH031,194766,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Basel-Landschaft,Switzerland,CH032,288132,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Bern,Switzerland,CH021,1034977,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Fribourg,Switzerland,CH022,318714,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Geneva,Switzerland,CH013,499480,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Glarus,Switzerland,CH051,40403,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Grisons,Switzerland,CH056,198379,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Jura,Switzerland,CH025,73419,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Lucerne,Switzerland,CH061,409557,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Neuchatel,Switzerland,CH024,176850,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Nidwalden,Switzerland,CH065,43223,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Obwalden,Switzerland,CH064,37841,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Saint Gallen,Switzerland,CH055,507697,0,0,NA,NA,8544527,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
