AnzahlFall,FID,Meldedatum,NeuerFall
1.0,11572014.0,2020-03-06 01:00:00,0.0
5.0,11572710.0,2020-03-06 01:00:00,0.0
16.0,11573754.0,2020-03-06 01:00:00,0.0
1.0,11575146.0,2020-03-06 01:00:00,0.0
3.0,11575494.0,2020-03-06 01:00:00,0.0
2.0,11576190.0,2020-03-06 01:00:00,0.0
1.0,11576538.0,2020-03-06 01:00:00,0.0
1.0,11577234.0,2020-03-06 01:00:00,0.0
2.0,11578974.0,2020-03-06 01:00:00,0.0
1.0,11579322.0,2020-03-06 01:00:00,0.0
1.0,11579670.0,2020-03-06 01:00:00,0.0
6.0,11580018.0,2020-03-06 01:00:00,0.0
1.0,11581410.0,2020-03-06 01:00:00,0.0
2.0,11584194.0,2020-03-06 01:00:00,0.0
1.0,11584542.0,2020-03-06 01:00:00,0.0
1.0,11584890.0,2020-03-06 01:00:00,0.0
1.0,11585586.0,2020-03-06 01:00:00,0.0
13.0,11585934.0,2020-03-06 01:00:00,0.0
3.0,11588022.0,2020-03-06 01:00:00,0.0
19.0,11589066.0,2020-03-06 01:00:00,0.0
2.0,11592546.0,2020-03-06 01:00:00,0.0
1.0,11593242.0,2020-03-06 01:00:00,0.0
1.0,11596026.0,2020-03-06 01:00:00,0.0
6.0,11599158.0,2020-03-06 01:00:00,0.0
2.0,11613774.0,2020-03-06 01:00:00,0.0
1.0,11614122.0,2020-03-06 01:00:00,0.0
1.0,11614818.0,2020-03-06 01:00:00,0.0
1.0,11617602.0,2020-03-06 01:00:00,0.0
1.0,11621082.0,2020-03-06 01:00:00,0.0
1.0,11621778.0,2020-03-06 01:00:00,0.0
2.0,11622126.0,2020-03-06 01:00:00,0.0
1.0,11623170.0,2020-03-06 01:00:00,0.0
1.0,11636394.0,2020-03-06 01:00:00,0.0
1.0,11637786.0,2020-03-06 01:00:00,0.0
4.0,11513552.0,2020-03-07 01:00:00,0.0
1.0,11517380.0,2020-03-07 01:00:00,0.0
1.0,11518424.0,2020-03-07 01:00:00,0.0
1.0,11520512.0,2020-03-07 01:00:00,0.0
3.0,11522600.0,2020-03-07 01:00:00,0.0
2.0,11525036.0,2020-03-07 01:00:00,0.0
3.0,11530952.0,2020-03-07 01:00:00,0.0
2.0,11535476.0,2020-03-07 01:00:00,0.0
1.0,11535824.0,2020-03-07 01:00:00,0.0
5.0,11536520.0,2020-03-07 01:00:00,0.0
47.0,11537912.0,2020-03-07 01:00:00,0.0
1.0,11541392.0,2020-03-07 01:00:00,0.0
1.0,11541740.0,2020-03-07 01:00:00,0.0
1.0,11543480.0,2020-03-07 01:00:00,0.0
2.0,11543828.0,2020-03-07 01:00:00,0.0
1.0,11546264.0,2020-03-07 01:00:00,0.0
3.0,11548352.0,2020-03-07 01:00:00,0.0
1.0,11552528.0,2020-03-07 01:00:00,0.0
1.0,11552876.0,2020-03-07 01:00:00,0.0
2.0,11553572.0,2020-03-07 01:00:00,0.0
1.0,11562272.0,2020-03-07 01:00:00,0.0
1.0,11567144.0,2020-03-07 01:00:00,0.0
5.0,11570276.0,2020-03-07 01:00:00,0.0
3.0,11570972.0,2020-03-07 01:00:00,0.0
3.0,11571668.0,2020-03-07 01:00:00,0.0
1.0,11572016.0,2020-03-07 01:00:00,0.0
1.0,11573060.0,2020-03-07 01:00:00,0.0
1.0,11574800.0,2020-03-07 01:00:00,0.0
3.0,11575496.0,2020-03-07 01:00:00,0.0
2.0,11575844.0,2020-03-07 01:00:00,0.0
1.0,11576888.0,2020-03-07 01:00:00,0.0
1.0,11578280.0,2020-03-07 01:00:00,0.0
1.0,11578628.0,2020-03-07 01:00:00,0.0
2.0,11578976.0,2020-03-07 01:00:00,0.0
1.0,11579324.0,2020-03-07 01:00:00,0.0
2.0,11579672.0,2020-03-07 01:00:00,0.0
1.0,11580716.0,2020-03-07 01:00:00,0.0
1.0,11582804.0,2020-03-07 01:00:00,0.0
1.0,11583848.0,2020-03-07 01:00:00,0.0
1.0,11584196.0,2020-03-07 01:00:00,0.0
1.0,11586284.0,2020-03-07 01:00:00,0.0
1.0,11588024.0,2020-03-07 01:00:00,0.0
3.0,11589068.0,2020-03-07 01:00:00,0.0
4.0,11592548.0,2020-03-07 01:00:00,0.0
1.0,11593244.0,2020-03-07 01:00:00,0.0
5.0,11599160.0,2020-03-07 01:00:00,0.0
2.0,11600204.0,2020-03-07 01:00:00,0.0
1.0,11602292.0,2020-03-07 01:00:00,0.0
2.0,11608208.0,2020-03-07 01:00:00,0.0
1.0,11622128.0,2020-03-07 01:00:00,0.0
2.0,11636048.0,2020-03-07 01:00:00,0.0
1.0,11643704.0,2020-03-07 01:00:00,0.0
1.0,11509030.0,2020-03-08 01:00:00,0.0
5.0,11513554.0,2020-03-08 01:00:00,0.0
2.0,11517382.0,2020-03-08 01:00:00,0.0
2.0,11526778.0,2020-03-08 01:00:00,0.0
2.0,11535826.0,2020-03-08 01:00:00,0.0
4.0,11536522.0,2020-03-08 01:00:00,0.0
1.0,11536870.0,2020-03-08 01:00:00,0.0
13.0,11537914.0,2020-03-08 01:00:00,0.0
1.0,11540002.0,2020-03-08 01:00:00,0.0
3.0,11540698.0,2020-03-08 01:00:00,0.0
1.0,11543482.0,2020-03-08 01:00:00,0.0
1.0,11543830.0,2020-03-08 01:00:00,0.0
3.0,11557750.0,2020-03-08 01:00:00,0.0
1.0,11570974.0,2020-03-08 01:00:00,0.0
6.0,11572714.0,2020-03-08 01:00:00,0.0
1.0,11573062.0,2020-03-08 01:00:00,0.0
1.0,11573758.0,2020-03-08 01:00:00,0.0
1.0,11577238.0,2020-03-08 01:00:00,0.0
2.0,11578978.0,2020-03-08 01:00:00,0.0
3.0,11579674.0,2020-03-08 01:00:00,0.0
1.0,11580022.0,2020-03-08 01:00:00,0.0
1.0,11581066.0,2020-03-08 01:00:00,0.0
1.0,11582458.0,2020-03-08 01:00:00,0.0
1.0,11583502.0,2020-03-08 01:00:00,0.0
3.0,11588026.0,2020-03-08 01:00:00,0.0
10.0,11589070.0,2020-03-08 01:00:00,0.0
1.0,11591854.0,2020-03-08 01:00:00,0.0
1.0,11592202.0,2020-03-08 01:00:00,0.0
1.0,11592550.0,2020-03-08 01:00:00,0.0
1.0,11600554.0,2020-03-08 01:00:00,0.0
1.0,11606470.0,2020-03-08 01:00:00,0.0
1.0,11609950.0,2020-03-08 01:00:00,0.0
1.0,11617606.0,2020-03-08 01:00:00,0.0
1.0,11619346.0,2020-03-08 01:00:00,0.0
1.0,11621086.0,2020-03-08 01:00:00,0.0
1.0,11621434.0,2020-03-08 01:00:00,0.0
7.0,11622130.0,2020-03-08 01:00:00,0.0
2.0,11622478.0,2020-03-08 01:00:00,0.0
2.0,11627698.0,2020-03-08 01:00:00,0.0
1.0,11630482.0,2020-03-08 01:00:00,0.0
1.0,11630830.0,2020-03-08 01:00:00,0.0
2.0,11632570.0,2020-03-08 01:00:00,0.0
4.0,11636398.0,2020-03-08 01:00:00,0.0
1.0,11637790.0,2020-03-08 01:00:00,0.0
1.0,11511120.0,2020-03-09 01:00:00,0.0
2.0,11511468.0,2020-03-09 01:00:00,0.0
21.0,11513556.0,2020-03-09 01:00:00,0.0
1.0,11517384.0,2020-03-09 01:00:00,0.0
1.0,11518428.0,2020-03-09 01:00:00,0.0
1.0,11519820.0,2020-03-09 01:00:00,0.0
1.0,11521908.0,2020-03-09 01:00:00,0.0
2.0,11524692.0,2020-03-09 01:00:00,0.0
1.0,11525388.0,2020-03-09 01:00:00,0.0
1.0,11526432.0,2020-03-09 01:00:00,0.0
1.0,11527824.0,2020-03-09 01:00:00,0.0
5.0,11528172.0,2020-03-09 01:00:00,0.0
6.0,11529564.0,2020-03-09 01:00:00,0.0
1.0,11529912.0,2020-03-09 01:00:00,0.0
2.0,11530260.0,2020-03-09 01:00:00,0.0
1.0,11531652.0,2020-03-09 01:00:00,0.0
3.0,11534088.0,2020-03-09 01:00:00,0.0
1.0,11534784.0,2020-03-09 01:00:00,0.0
1.0,11535132.0,2020-03-09 01:00:00,0.0
2.0,11535480.0,2020-03-09 01:00:00,0.0
10.0,11535828.0,2020-03-09 01:00:00,0.0
3.0,11536524.0,2020-03-09 01:00:00,0.0
2.0,11537568.0,2020-03-09 01:00:00,0.0
44.0,11537916.0,2020-03-09 01:00:00,0.0
5.0,11538612.0,2020-03-09 01:00:00,0.0
8.0,11538960.0,2020-03-09 01:00:00,0.0
1.0,11539308.0,2020-03-09 01:00:00,0.0
2.0,11540352.0,2020-03-09 01:00:00,0.0
