country,date,type,centDegStd,hubStd,hubWt,centDegRaw,hubRaw,centDegTheory,hubTheory
Switzerland,2020-05-06,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-07,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-08,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-09,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-10,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-11,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-12,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-13,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-14,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-15,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-16,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-17,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-18,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-19,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-20,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-21,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-22,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-23,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-24,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-25,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-26,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-27,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-28,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-29,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-30,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-31,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-01,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-02,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-03,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-04,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-05,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-06,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-07,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-08,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-09,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-10,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-11,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-12,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-13,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-14,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-15,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-16,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-17,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-18,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-19,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-20,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-21,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-22,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-23,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-24,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-25,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-26,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-27,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-28,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-29,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-06-30,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-01,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-02,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-03,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-04,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-05,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-06,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-07,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-08,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-09,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-10,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-11,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-12,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-13,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-14,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-15,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-16,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-17,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-18,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-19,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-20,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-21,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-22,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-23,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-24,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-25,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-26,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-27,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-28,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-29,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-30,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-07-31,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-08-01,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-08-02,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-08-03,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-08-04,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-08-05,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-08-06,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-08-07,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-08-08,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-08-09,Quarantine,0,0,0,0,0,0,0
Switzerland,2019-12-31,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-01,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-02,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-03,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-04,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-05,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-06,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-07,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-08,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-09,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-10,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-11,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-12,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-13,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-14,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-15,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-16,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-17,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-18,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-01-19,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
