"","country","date","hhi_cumulative","hhi_new"
"73","France",2020-03-13,1.14076841906328,1.04608695652174
"74","France",2020-03-14,1.14158875034855,1.157728102637
"75","France",2020-03-15,1.214452832644,190.072222222222
"76","France",2020-03-16,1.15558691246062,1.08031193098923
"77","France",2020-03-17,1.16627255149445,1.25954268313236
"78","France",2020-03-18,1.17313302366326,1.22096552707893
"79","France",2020-03-19,1.18123759774831,1.230136665725
"80","France",2020-03-20,1.17267663592756,1.13044653046223
"81","France",2020-03-21,1.1801919430294,1.31851159955538
"82","France",2020-03-22,1.18324912551167,1.23314594438192
"83","France",2020-03-23,1.17041656159238,1.1276497524413
"84","France",2020-03-24,1.1678076121319,1.15945589837242
"85","France",2020-03-25,1.16595655444061,1.15727060868458
"86","France",2020-03-26,1.12859657815646,1.00365301606726
"87","France",2020-03-27,1.10408612096216,1.00439322352216
"88","France",2020-03-28,1.09629254952061,1.07317762616914
"89","France",2020-03-29,1.09861943045388,1.14605848492058
"90","France",2020-03-30,1.0958325194834,1.07515931589625
"91","France",2020-03-31,1.08960511229842,1.0594507889481
"92","France",2020-04-01,1.09411805160001,1.15467223962974
"93","France",2020-04-02,1.10337105829412,1.52966684653071
"94","France",2020-04-03,1.10155394753048,1.08335392604132
"95","France",2020-04-04,1.09965178505218,1.07514446549401
"96","France",2020-04-05,1.10150781250533,1.18322102750497
"97","France",2020-04-06,1.10023099811071,1.08040483426801
"98","France",2020-04-07,1.10170112981971,1.13529669601883
"99","France",2020-04-08,1.10255810251682,1.12532550940068
"100","France",2020-04-09,1.10216011078721,1.09539490803273
"101","France",2020-04-10,1.10164330057252,1.09243289278015
"102","France",2020-04-11,1.1004656097487,1.07394475567485
"103","France",2020-04-12,1.06360983919903,1.00067798386222
"104","France",2020-04-13,1.06193658269875,1.01974818021586
"105","France",2020-04-14,1.06014871142228,1.02421749859231
"106","France",2020-04-15,1.06068194763108,1.08483352825425
"107","France",2020-04-16,1.05327354983988,1.00441031532503
"108","France",2020-04-17,1.05455859350094,1.19413365348795
"109","France",2020-04-18,1.05648663990302,1251.15570934256
"110","France",2020-04-19,1.05391523180917,1.0047768993613
"111","France",2020-04-20,1.0539588280023,1.06082109314314
"112","France",2020-04-21,1.05414957155765,1.06819752187926
"113","France",2020-04-22,1.05768374069213,1.086986862665
"114","France",2020-04-23,1.05759383155608,1.05241576933152
"115","France",2020-04-24,1.05803677521316,1.11195092781914
"116","France",2020-04-25,1.05798740728224,1.05385663901141
"117","France",2020-04-26,1.05817131829152,1.12556448340232
"118","France",2020-04-27,1.05652341793138,1.0085090844791
"119","France",2020-04-28,1.0553549885672,1.01065295435836
"120","France",2020-04-29,1.05889218514158,1.06382912973143
"121","France",2020-04-30,1.05953574502072,1.33068956403348
"122","France",2020-05-01,1.06017394882385,0
